time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,1.63328177864111,0.916630935398549,0.952070445400876,0.00390226809378186,-0.0295109024592253,0.993493067501274,8.25,3,13.2
0.02,-1.14432312560147,-1.00416386047949,-0.395563553371845,0.00378032221585117,-0.0289011730695719,0.994163769829893,7.35,3.6,13.05
0.04,0.495486983829535,-0.376644717205188,1.03440735209801,0.00353643045998981,-0.0293279836423293,0.994163769829893,8.4,5.25,13.8
0.06,0.445258806119469,-0.163341500988172,0.638444105004338,0.00213405286378695,-0.0277426872292304,0.993797932196101,7.65,4.05,13.8
0.08,-1.23332159432912,-1.67498315695212,0.0889984687276498,0.00359740339895515,-0.0270110119616463,0.992517500477829,6.75,3,13.65
0.1,1.58665084442752,0.961396632243594,0.894914243179077,0.00268280931447503,-0.0278036601681957,0.991359014637487,6.9,4.35,14.55
0.12,-1.03907044551937,-1.00802756645718,-0.238883614414186,0.00128043171827217,-0.0260964178771662,0.993919878074032,6.15,3.6,13.05
0.14,0.177197550011638,-0.48762634063353,0.709589587490214,0.00195113404689093,-0.0289621460085372,0.991541933454383,6.9,3.6,13.8
0.16,1.30246860820584,0.0095926493239383,1.28701378429506,0.00304864694826707,-0.0266451743278542,0.994529607463685,7.05,3.75,14.4
0.18,-1.44036294223746,-1.61263093634652,0.0095926493239383,0.00329253870412844,-0.0281085248630224,0.991480960515418,7.05,4.95,12.9
0.2,1.24517917474344,1.00229862311094,0.750758040838782,0.00432907866653925,-0.0274378225344037,0.99367598631817,6.3,1.8,13.95
0.22,0.0666156203051271,-0.666822359254322,0.269526799754544,0.00256086343654434,-0.0291450648254332,0.99355404044024,6.3,1.8,13.95
0.24,-0.39343185352208,-0.456716692811951,0.364254211828435,0.00353643045998981,-0.027132957839577,0.993797932196101,7.65,4.05,13.8
0.26,1.28341654079858,-0.0491623277851838,1.23252220688546,0.00512172687308868,-0.0285963083747452,0.991602906393349,6.3,3.45,13.95
0.28,-1.34936600490065,-1.62235681691106,-0.0243813170316765,0.00481686217826198,-0.0278646331071611,0.99184679814921,7.65,4.05,14.25
0.3,1.4955206758501,1.00496324792315,0.783399694788294,0.00378032221585117,-0.0278036601681957,0.993188202806447,7.65,1.65,14.25
0.32,-1.03094333984215,-1.17576569838549,-0.142557427452972,0.00243891755861366,-0.0258525261213048,0.992578473416794,6.75,4.2,13.95
0.34,0.595943339249667,-0.200379785877822,0.976984687394994,0.00408518691067788,-0.0287182542526758,0.993310148684378,7.35,2.85,13.05
0.36,0.0386370597769737,-0.211837672570304,0.0846018377875114,0.00487783511722732,-0.0292670107033639,0.993858905135066,6.9,3.3,13.8
0.38,-0.798055131255422,-1.16017764323409,0.213036753735796,0.00371934927688583,-0.0273768495954383,0.994895445097477,5.55,3.75,13.2
0.4,1.45142113520811,0.91223430445841,0.737834610499587,0.00353643045998981,-0.027681714290265,0.994773499219546,6.15,3.3,13.8
0.42,-1.43023736795108,-1.61209801138408,-0.16227565106329,0.00347545752102446,-0.027498795473369,0.994102796890928,7.05,3.75,13.95
0.44,1.17509954218244,0.260067381671216,1.16071056819653,0.00439005160550459,-0.0282304707409531,0.992090689905071,6.75,4.2,14.7
0.46,-0.295773354154764,-0.395297090890624,-0.102854517751116,0.00384129515481651,-0.0276207413512997,0.994041823951962,6.6,3.6,13.8
0.48,-0.60300459500201,-0.103387442713557,-0.342004594646522,0.0039632410327472,-0.0301206318488787,0.992700419294725,6.9,3.3,14.25
0.5,1.23452067549461,0.657229709930384,0.671352221435071,0.00451199748343527,-0.029632848337156,0.993980851012997,7.05,4.2,14.4
0.52,-1.39386523926448,-1.77064318771028,0.0343736600774456,0.00347545752102446,-0.0257915531823395,0.995200309792304,8.4,4.05,14.55
0.54,1.53429096686769,0.808846861744853,1.00376416675765,0.00310961988723242,-0.0273768495954383,0.993980851012997,7.65,2.85,14.25
0.56,-1.25503828654859,-1.06065390649823,-0.495886677551366,0.00335351164309378,-0.0290231189475025,0.99459058040265,7.35,3.3,13.5
0.58,1.36482082881144,-0.0474303216572505,1.62089127326435,0.00457297042240061,-0.0275597684123344,0.992273608721967,7.05,4.95,13.65
0.6,-0.430203675930511,-0.98031546841025,0.191186830275715,0.00390226809378186,-0.0272549037175076,0.993005283989552,6.9,4.05,14.85
0.62,-0.292842266861339,-0.40888667743287,0.329880551750989,0.00481686217826198,-0.027132957839577,0.993615013379205,6.3,4.2,13.65
0.64,0.915298622992446,0.196649311140735,0.632848392898707,0.00274378225344037,-0.0268890660837156,0.993919878074032,7.05,3,13.95
0.66,-1.09556049153812,-1.05945482533274,-0.0768744258321166,0.00335351164309378,-0.0281085248630224,0.99550517448713,6.6,4.35,14.55
0.68,1.554009190478,0.232621746105504,1.37454670937599,0.00341448458205912,-0.0268890660837156,0.992883338111621,7.05,2.7,13.2
0.7,-1.4734042899088,-1.02734609634567,-0.628318530717959,0.00317059282619776,-0.0265842013888889,0.991298041698522,6.6,2.85,14.25
0.72,1.18309341661906,0.925157734797605,0.617526800228528,0.00317059282619776,-0.0274378225344037,0.99184679814921,7.05,4.2,13.2
