time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,-0.0361056662053789,-0.312427259231046,0.589681470940985,0.000182918816896024,-0.0270110119616463,0.994224742768858,8.4,5.25,16.05
0.02,0.289777948327303,-0.268460949829662,0.284848392424723,-0.00207307992482161,-0.0277426872292304,0.993980851012997,7.65,4.05,14.85
0.04,-0.0818039817346961,0.537854518343596,0.049828483988235,0.000548756450688073,-0.027498795473369,0.993797932196101,7.8,4.2,14.7
0.06,0.36145635577562,-0.486960184430479,0.483895865896443,-0.00164626935206422,-0.0267671202057849,0.992212635783002,7.5,4.2,15.45
0.08,0.0174532925199433,-0.0847350690281216,0.531592650034914,-0.00140237759620285,-0.0265232284499235,0.9953832286092,6,2.7,15.9
0.1,-0.201045942080874,-0.682277183165111,0.0510275651537273,-0.000670702328618756,-0.0282914436799185,0.993188202806447,7.05,3.45,14.7
0.12,-0.0913966310586343,-0.415415008222772,0.641908117260204,-0.000304864694826707,-0.0262183637550968,0.992639446355759,7.5,4.65,14.4
0.14,0.357059724835481,-0.230090352533909,0.2728575807698,-0.00213405286378695,-0.0257305802433741,0.9953832286092,7.65,4.05,13.8
0.16,-0.303633997350769,-0.182127105914217,0.340272588518589,-0.00115848584034149,-0.0269500390226809,0.994285715707824,6.9,3.6,15.6
0.18,0.365586524234537,-0.548646248833027,0.463911179804905,-0.00134140465723751,-0.0279865789850917,0.993797932196101,6.3,5.7,13.95
0.2,-0.385171516604245,-0.444192956194587,0.409419602395311,-0.000914594084480122,-0.0264622555109582,0.993858905135066,8.1,4.35,16.05
0.22,0.58728330861,-0.206774885427114,0.453652374277915,-0.00109751290137615,-0.0278036601681957,0.992822365172656,7.35,4.35,15.3
0.24,-0.37211485502444,-0.520800919545483,0.448189893412895,-0.00109751290137615,-0.0278036601681957,0.992822365172656,7.65,4.35,15.3
0.26,0.794990812721386,-0.167205206965869,0.693468607376373,-0.00341448458205912,-0.0264622555109582,0.993615013379205,7.05,4.2,14.7
