time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,1.43077029291352,0.0239816233098457,1.49791883818109,0.00487783511722732,-0.0329863599802497,0.995322255670234,-11.55,-0.3,14.7
0.02,0.375978561002137,-0.224494640428278,0.359591118407076,0.00402421397171254,-0.0317669012009429,0.992090689905071,-11.1,0.15,12
0.04,-0.856277183402103,-1.15231700003809,-0.0544915774095939,0.00542659156791539,-0.0304864694826707,0.992578473416794,-10.65,-0.15,13.05
0.06,-1.13406432007448,-0.969390506680209,-0.0988575805328086,0.00493880805619266,-0.0282914436799185,0.991054149942661,-10.5,0.3,12.45
0.08,-0.213036753735796,-0.322552833517425,0.352929556376563,0.00542659156791539,-0.0313400906281855,0.992700419294725,-7.65,1.65,10.8
0.1,1.08583461097357,0.211038285126643,1.07464318676231,0.00237794461964832,-0.0332302517361111,0.992517500477829,-9.6,0.45,10.8
0.12,0.885055131373918,0.289644717086693,0.611931088122897,0.00457297042240061,-0.032498576468527,0.993310148684378,-10.5,0,14.4
0.14,-0.279652374040923,-0.929421134497133,0.333211332766246,0.00329253870412844,-0.0305474424216361,0.993249175745413,-8.85,-0.15,13.05
0.16,-1.12873507045007,-0.810578867872786,-0.482830015971561,0.00353643045998981,-0.0314620365061162,0.992944311050586,-10.05,0.75,13.65
0.18,-0.87546248204998,-1.20374425891365,0.289511485846082,0.00341448458205912,-0.0315839823840469,0.994224742768858,-9.3,0.3,14.4
0.2,-0.428871363524408,-0.300969372538564,0.0619525268837682,0.00463394336136595,-0.0307303612385321,0.992944311050586,-9.6,0.9,14.85
0.22,0.7756722828329,0.4456584998413,0.382373660551429,0.00463394336136595,-0.0307303612385321,0.992944311050586,-9.9,-0.45,14.25
0.24,1.25956814872934,0.601006126392856,0.869600307463129,0.00195113404689093,-0.032132738834735,0.992883338111621,-9.75,0.75,14.7
0.26,0.663225115757845,-0.248209801256903,0.982980093222455,0.00341448458205912,-0.0310352259333588,0.993858905135066,-9.3,0.75,13.95
0.28,-0.509076570371781,-0.68654058286464,0.175865237605535,0.00530464568998471,-0.0310961988723242,0.994651553341616,-9.15,0.15,13.05
0.3,-1.18335987910028,-1.08796631082334,-0.31429249659959,0.00304864694826707,-0.0325595494074924,0.996053930937819,-9.75,-0.3,15.15
0.32,-0.447923430931674,-1.64860337131128,0.81257733648194,0.00347545752102446,-0.0318888470788736,0.99550517448713,-9.3,0,14.4
0.34,0.492289434054889,-0.109249617300408,0.569030628646395,0.00310961988723242,-0.032315657651631,0.99355404044024,-10.5,1.5,13.65
0.36,1.22559418237373,0.0317090352652405,1.27928637233966,0.0042681057275739,-0.0329253870412844,0.995688093304026,-9.15,0.15,13.8
0.38,0.860274120620411,0.604470138648723,0.498551302363571,0.00609729389653415,-0.0306693882995668,0.993919878074032,-10.35,-1.65,14.25
0.4,-0.58715007736939,-0.840955590731924,0.103387442713557,0.00670702328618756,-0.0287182542526758,0.995566147426096,-9.9,-0.45,12.3
0.42,-1.28541500940773,-0.700529863128716,-0.71318683098669,0.00310961988723242,-0.0316449553230122,0.993615013379205,-9.75,1.05,14.4
0.44,-0.405156202695783,-0.894381318216636,0.294307810508051,0.00280475519240571,-0.0308523071164628,0.990810258186799,-9.75,0.3,13.2
0.46,0.142424196212362,-0.225027565390719,0.371581930061999,0.00390226809378186,-0.0299377130319827,0.99367598631817,-10.35,-0.45,14.25
0.48,1.00269831683277,0.326283308254512,0.772741195539474,0.00408518691067788,-0.0315230094450816,0.993493067501274,-10.5,0,13.2
0.5,1.30113629579974,0.406888208823716,1.06718223728814,0.00347545752102446,-0.0340228999426605,0.99355404044024,-10.05,-1.5,12.45
0.52,0.523065850635858,0.0234486983474047,0.530127106388201,0.00182918816896024,-0.0345716563933486,0.992212635783002,-8.55,-0.75,13.65
0.54,-0.729840736062972,-1.02521439649591,0.204776416817961,0.00317059282619776,-0.0351204128440367,0.993310148684378,-10.05,-1.5,11.85
0.56,-1.13792802605218,-0.966859113108614,-0.383439510476311,0.00554853744584608,-0.0333521976140418,0.990993177003695,-9.3,-0.75,13.2
0.58,0.023049004625574,-0.315758040246302,0.312693721712267,0.0042681057275739,-0.0326205223464577,0.99093220406473,-10.5,-1.5,12.9
0.6,1.15591424353457,0.542784074246175,0.783799388510125,0.00512172687308868,-0.0311571718112895,0.993797932196101,-11.55,-1.5,13.65
0.62,1.11407963398295,-0.0997901992170803,1.29753905230327,0.0032315657651631,-0.0282914436799185,0.993066256928517,-10.8,-0.75,13.65
0.64,-0.00919295560210754,-0.0963261869612137,0.268594181070272,0.004999780995158,-0.0288402001306065,0.992273608721967,-10.8,-1.8,11.85
0.66,-1.02521439649591,-1.05612404431748,-0.142424196212362,0.00536561862895005,-0.0299377130319827,0.992517500477829,-12.45,-1.05,11.85
0.68,-0.66042725970503,-1.44289433580905,0.509609495334222,0.00603632095756881,-0.0313400906281855,0.993615013379205,-10.65,-2.4,11.55
0.7,0.4352664630737,-0.165473200837936,0.528661562741488,0.00390226809378186,-0.0319498200178389,0.992090689905071,-10.8,-1.8,11.1
0.72,0.99084073641846,-0.00772741195539474,1.02294946540553,0.00128043171827217,-0.0341448458205912,0.992212635783002,-10.8,-2.25,13.65
0.74,1.16270903680569,0.82803216039273,0.604470138648723,0.00219502580275229,-0.0332302517361111,0.993432094562309,-10.8,-1.05,12.15
0.76,0.385837672807296,-0.149085758242874,0.718516080611101,0.00274378225344037,-0.0306084153606014,0.992273608721967,-9.6,-2.1,12
0.78,-1.15658039973762,-0.578756509210944,-0.595277183046615,0.0032315657651631,-0.0295109024592253,0.991176095820591,-10.35,-1.35,12.75
0.8,-0.740632466552403,-1.23851761271292,0.197715161065617,0.00469491630033129,-0.0302425777268094,0.99355404044024,-10.5,-1.8,11.4
0.82,0.461779479955141,-0.126569678579741,0.595143951806005,0.00597534801860347,-0.0323766305905963,0.995444201548165,-9.3,-0.3,12.45
0.84,1.15471516236907,1.2187993891026,0.306032159681754,0.00518269981205403,-0.0326205223464577,0.993249175745413,-10.65,0.15,13.5
0.86,-0.292176110658287,-0.537721287102986,0.313626340396538,0.00628021271343017,-0.0312181447502548,0.993066256928517,-10.65,-1.35,13.05
0.88,-1.24464624978099,-1.10302144101229,-0.374646248596035,0.00219502580275229,-0.032132738834735,0.995078363914373,-10.05,-0.75,12.15
0.9,0.340405819759199,-1.01575497841258,1.07477641800292,0.00347545752102446,-0.0342667916985219,0.993980851012997,-10.65,0.15,13.5
0.92,1.18136141049112,0.602071976317738,0.737568148018367,0.00298767400930173,-0.0334131705530071,0.99367598631817,-9.75,1.05,12.9
0.94,0.516137826124125,-0.171735069146618,0.861473201785903,0.00225599874171764,-0.0320107929568043,0.995688093304026,-11.25,0.3,12.15
0.96,-0.851081165018303,-1.37681164046637,0.294840735470492,0.00371934927688583,-0.029998685970948,0.994041823951962,-11.55,1.5,11.85
0.98,-1.04559877630927,-1.33004747501217,-0.0122572741361434,0.00390226809378186,-0.0294499295202599,0.993310148684378,-9.9,0.9,12
1,0.0638177642523117,-0.250874426069109,0.263398162686472,0.00664605034722222,-0.0284743624968145,0.988249394750255,-9.3,0.3,12.9
1.02,1.21786677041833,0.599673813986754,0.799787137383356,0.00432907866653925,-0.0306693882995668,0.993919878074032,-10.35,-0.15,14.25
1.04,0.766212864749572,0.106185298766373,0.761549771328213,0.00457297042240061,-0.0331083058581804,0.992456527538863,-11.1,-0.15,13.5
1.06,-0.858009189530037,-0.796456356368099,-0.227292496481094,0.00317059282619776,-0.0365837633792049,0.9846519913513,-8.85,0.9,13.05
1.08,-0.725044411401003,-0.947407351979517,0.149218989483485,0.002499890497579,-0.0345106834543833,0.999529388458843,-9.9,-0.15,13.5
1.1,0.929820828218964,0.370915773858948,0.759551302719059,0.00457297042240061,-0.0328644141023191,0.993310148684378,-10.65,1.35,12.75
1.12,1.04613170127172,-0.114179173202988,1.1499188377071,-0.00213405286378695,-0.0293889565812946,0.99001760998025,-9.75,0.3,13.95
1.14,-0.597009189174549,-0.930620215662625,0.147087289633721,0.00189016110792559,-0.0326205223464577,0.991724852271279,-9.75,1.5,13.95
1.16,-1.05838897540786,-1.21293721451575,-0.0724777948919783,0.00469491630033129,-0.0286572813137105,0.99276139223369,-9.75,1.5,13.2
1.18,0.747027566101695,0.00599540582746144,0.890917305960769,0.00189016110792559,-0.0328034411633537,0.993858905135066,-9.9,0.45,14.55
1.2,0.80738131809814,0.334810107653569,0.567964778721513,0.00445102454446993,-0.0314010635671509,0.992639446355759,-10.65,-0.45,13.8
1.22,-1.12287289586322,-1.5266967861529,0.0451653905668762,0.00670702328618756,-0.0315839823840469,0.990444420553007,-9.9,0.9,13.8
1.24,-0.394497703446962,-0.470705973076028,0.175732006364925,0.0057314562627421,-0.0332302517361111,0.99184679814921,-9.75,0.3,13.95
1.26,1.4058560509194,0.334010720209907,1.12060796477285,0.00445102454446993,-0.0339009540647299,0.993615013379205,-9.9,0.45,13.8
1.28,-0.266196018739288,-0.235552833398929,0.422875957696947,0.00353643045998981,-0.0338399811257645,0.991480960515418,-11.85,-0.15,12
1.3,-1.2459785621871,-1.20321133395121,-0.301768759982226,0.00335351164309378,-0.0314620365061162,0.99446863452472,-9.9,-0.15,14.25
1.32,0.554774885901098,-0.207707504111386,0.404223584011511,0.00384129515481651,-0.032498576468527,0.993919878074032,-8.25,0,14.7
1.34,0.914765698030005,0.882124044080493,0.567831547480903,0.00469491630033129,-0.0304254965437054,0.993919878074032,-10.35,0.45,13.05
1.36,-1.18589127267187,-1.20947320225989,0.00599540582746144,0.00329253870412844,-0.0306084153606014,0.994895445097477,-9.3,0.75,13.95
1.38,0.177597243733469,-0.464710567248566,0.197049004862566,0.00463394336136595,-0.0323766305905963,0.993980851012997,-9.3,1.8,13.65
1.4,1.32618376903447,0.19918070471233,1.19521745951459,0.002499890497579,-0.032498576468527,0.99355404044024,-8.55,-0.3,12.45
1.42,-0.350131700323748,-0.213569678698237,0.400493109274424,0.00506075393412334,-0.0332912246750765,0.995200309792304,-9.6,0.15,15.3
1.44,-1.20800765861317,-1.12140735221651,-0.322819295998646,0.00384129515481651,-0.0335351164309378,0.99446863452472,-9.9,0.9,13.5
1.46,-0.0274456355657124,-1.28847932794177,0.805249618248376,0.00256086343654434,-0.0313400906281855,0.993371121623344,-8.85,-2.85,13.5
1.48,1.24557886846527,0.706658500196788,0.711321593618147,0.00317059282619776,-0.0338399811257645,0.993249175745413,-9.75,1.8,11.85
1.5,0.840822359491314,-0.0417013783110095,1.13246554518716,0.00262183637550968,-0.0306084153606014,0.992639446355759,-9.3,-2.25,13.95
1.52,-0.67628177733765,-0.980715162132081,0.363055130662943,0.00201210698585627,-0.0307913341774975,0.993797932196101,-10.5,-1.5,13.2
1.54,-1.12953445789373,-1.42823889934192,-0.0194517611290971,0.0039632410327472,-0.0314620365061162,0.993188202806447,-10.5,-1.5,13.2
1.56,-0.166539050762818,-0.384771822882414,-0.095393568276942,0.00371934927688583,-0.0297547942150866,0.991968744027141,-10.35,-1.65,12
1.58,1.23785145650987,0.710522206174485,0.710388974933875,0.00402421397171254,-0.032498576468527,0.992883338111621,-8.55,-1.5,13.2
1.6,0.483762634655833,0.0178529862417741,0.700396631888106,0.00518269981205403,-0.032132738834735,0.994102796890928,-10.65,-2.1,12.3
