time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,-1.02201684672126,-0.730107198544193,-0.385038285363634,0.00182918816896024,-0.0319498200178389,0.99446863452472,40.05,-32.85,7.95
0.02,-0.972588056454855,-1.42424196212362,0.18852220546351,0.00292670107033639,-0.0299377130319827,0.994407661585754,38.4,-31.8,8.1
0.04,-1.10915007808037,-0.741831547717895,-0.478433385031423,0.00298767400930173,-0.0309742529943935,0.99276139223369,38.85,-31.8,8.1
0.06,-0.971122512808142,-1.47273813370575,0.259934150430606,0.000914594084480122,-0.0290231189475025,0.993371121623344,39.75,-32.4,9
0.08,-1.00962634134451,-0.691736601248439,-0.385437979085465,0.00103653996241081,-0.0304864694826707,0.995078363914373,40.05,-31.65,9
0.1,-0.539453293230919,-1.01535528469075,0.397428790740388,-0.000487783511722732,-0.029998685970948,0.99355404044024,39,-32.85,9.3
0.12,-0.327215926938784,-0.383705972957532,0.0315758040246302,0.00408518691067788,-0.032498576468527,0.992822365172656,38.85,-32.25,9.6
0.14,-0.0683476264330604,-0.415148545741552,0.465110260970397,0.00042681057275739,-0.0306693882995668,0.993858905135066,38.25,-32.4,9
0.16,0.269793262235765,-0.0679479327112296,0.440862175179331,0.00109751290137615,-0.0312791176892202,0.991724852271279,39.75,-32.4,7.95
0.18,0.10485298636027,0.108050536134916,0.304566616035041,0.000548756450688073,-0.0312791176892202,0.991176095820591,39.75,-32.4,7.95
0.2,-0.0842021440656806,-0.198381317268668,0.279385911559703,0.00237794461964832,-0.0297547942150866,0.992639446355759,39.15,-33,8.1
0.22,-0.423275651418777,-0.58168759650437,0.314825421562031,0.000609729389653415,-0.0299377130319827,0.992700419294725,38.85,-31.5,7.35
0.24,-0.687473201548911,-0.507877489206289,-0.134430321775746,0.000609729389653415,-0.0299377130319827,0.992700419294725,39.15,-32.25,8.85
0.26,-0.66069372218625,-0.852946402386847,0.261266462836708,0.000609729389653415,-0.0287182542526758,0.994895445097477,39.6,-32.55,8.1
0.28,-0.807647780579361,-0.594744258084175,-0.228491577646586,0.00274378225344037,-0.0307913341774975,0.992578473416794,40.5,-32.85,9
0.3,-0.202644716968197,-0.225027565390719,0.20957274147993,0.000365837633792049,-0.0332912246750765,0.994041823951962,39.75,-32.4,7.95
0.32,-0.203444104411858,-0.311627871787384,0.145088821024567,0.00274378225344037,-0.0314010635671509,0.991115122881626,38.85,-33,8.1
0.34,0.600872895152246,0.475635528978607,0.349065850398866,0.00152432347413354,-0.0309132800554281,0.991359014637487,39.9,-32.25,8.1
