time_s,gyro_1,gyro_2,gyro_3,accel_1,accel_2,accel_3,mag_1,mag_2,mag_3
0,-1.10528637210267,-0.725177642641613,-0.465643185932838,-0.00231697168068298,-0.0347545752102446,0.993858905135066,-9,-12.45,14.4
0.02,-0.666689128013712,-1.27582236008379,0.238084226970524,-0.00213405286378695,-0.0339619270036952,0.993432094562309,-7.35,-12.15,14.55
0.04,0.75502144053831,0.00293108729342559,0.718782543092321,-0.00115848584034149,-0.0348765210881753,0.99446863452472,-8.1,-14.55,13.05
0.06,1.25463859282676,0.835226647385683,0.57649157812057,-0.000853621145514781,-0.0354252775388634,0.994163769829893,-8.55,-13.2,13.65
0.08,0.346934150549102,0.0607534457182759,0.572361409661652,-0.002499890497579,-0.0359740339895515,0.994041823951962,-8.55,-12.45,13.2
0.1,-0.737168454296536,-0.753422665650987,0.0343736600774456,-0.00128043171827217,-0.0360959798674822,0.993066256928517,-10.35,-15.3,13.05
0.12,-1.11860949616369,-1.30286830192768,-0.00692802451173322,0.00042681057275739,-0.0341448458205912,0.995444201548165,-8.85,-15.75,12.75
0.14,-0.956866770062845,-1.01935222190905,-0.237684533248693,-0.00359740339895515,-0.0376203033416157,0.993310148684378,-7.5,-14.25,12.9
0.16,-0.169736600537464,-1.32311945050043,0.727442573731988,0.000609729389653415,-0.0339619270036952,0.993493067501274,-7.8,-14.25,12.15
0.18,0.237817764489304,-0.354661562504497,0.432468607020885,-0.0017682152299949,-0.0368276551350663,0.995078363914373,-8.25,-13.95,13.2
0.2,0.771675345614592,-0.141891271249921,0.881457887877441,-0.00231697168068298,-0.0367666821961009,0.995078363914373,-9.9,-14.55,11.55
0.22,1.16630628030216,0.582486983948031,0.707058193918619,-0.00115848584034149,-0.0362179257454128,0.993127229867482,-10.35,-14.1,11.55
0.24,1.03227565224825,0.0484961715821325,1.17203522364841,-0.00341448458205912,-0.0358520881116208,0.991724852271279,-11.25,-13.5,12.45
0.26,0.36678560540003,-0.414482389538501,0.564900460187478,-0.00207307992482161,-0.0365837633792049,0.99459058040265,-9.9,-15.3,11.55
0.28,0.142557427452972,-0.585284840000846,0.61339663176961,-0.00164626935206422,-0.0354862504778287,0.994895445097477,-9,-12.75,12.15
0.3,0.0764747321102859,-0.217300153435325,0.622722818612328,-0.00152432347413354,-0.0358520881116208,0.992456527538863,-8.4,-14.55,11.25
0.32,-0.0698131700797732,-0.355061256226327,0.536122512215663,-0.00286572813137105,-0.0370105739519623,0.990749285247834,-8.85,-13.35,11.25
0.34,-0.348532925436425,-0.686140889142809,0.581287902782539,-0.002499890497579,-0.0370715468909276,0.991541933454383,-8.1,-13.8,11.25
0.36,-0.848949465168539,-0.889984687276498,0.120840735233501,-0.00310961988723242,-0.037681276280581,0.994224742768858,-10.05,-15.45,10.35
0.38,-1.19988055293595,-0.94341041476121,-0.233954058511606,-0.00274378225344037,-0.0353643045998981,0.991785825210245,-9,-14.7,11.1
0.4,-0.865736601485431,-1.26769525440657,0.00692802451173322,-0.00201210698585627,-0.0354252775388634,0.991602906393349,-9.3,-14.25,10.65
0.42,-0.518535988455109,-0.537854518343596,-0.329747320510379,-0.00225599874171764,-0.0371934927688583,0.992944311050586,-9.75,-13.95,10.35
0.44,0.658295559855266,-0.205042879299181,0.548779480073637,-0.00268280931447503,-0.0375593304026504,0.992090689905071,-9.6,-15.75,10.5
0.46,1.03054364612032,0.0607534457182759,0.790727413021858,-0.00213405286378695,-0.0348765210881753,0.991785825210245,-9.75,-13.95,11.85
0.48,1.12007503981041,0.847617152762437,0.56596631011236,-0.00158529641309888,-0.0361569528064475,0.992151662844037,-9.15,-13.35,11.25
0.5,0.725843798844665,0.279918836522144,0.890517612238939,-0.00158529641309888,-0.0352423587219674,0.993371121623344,-9.3,-13.95,11.1
0.52,-0.118176110421295,-0.352263400173512,0.549445636276688,-0.00256086343654434,-0.0366447363181702,0.993432094562309,-9.3,-13.5,10.65
0.54,-0.83336141001714,-0.960597244799932,0.219565084525699,-0.0032315657651631,-0.0361569528064475,0.992517500477829,-10.05,-15.15,11.1
0.56,-0.83336141001714,-0.960597244799932,0.219565084525699,-0.0014633505351682,-0.0356691692947248,0.993493067501274,-9.15,-13.35,11.25
0.58,-1.10741807195243,-0.901042880247149,-0.408620214951649,-0.00243891755861366,-0.0356691692947248,0.992151662844037,-8.4,-13.35,11.25
0.6,-0.764614089862249,-1.36122358531497,0.139892802640767,-0.00317059282619776,-0.0356691692947248,0.993066256928517,-8.85,-14.55,12.75
0.62,-0.072344563651368,-0.593545176918682,0.0884655437652088,-0.00140237759620285,-0.0343887375764526,0.994041823951962,-10.5,-14.25,12.15
0.64,0.849882083852811,-0.113246554518716,0.544516080374109,-0.0032315657651631,-0.0354252775388634,0.993615013379205,-9.3,-13.95,11.85
0.66,1.070646249544,0.198647779749889,0.749292497192069,0.00042681057275739,-0.0364618175012742,0.995017390975408,-8.85,-13.8,11.25
0.68,1.13313170139021,-0.143756508618464,1.41398315659663,-0.000975567023445464,-0.0355472234167941,0.992029716966106,-10.5,-13.2,12.45
0.7,0.584352221316575,0.385038285363634,0.727042880010157,-0.00280475519240571,-0.0376203033416157,0.992822365172656,-9.9,-12.9,13.8
0.72,0.119108729105567,-0.301502297501005,0.870932619869231,-0.00262183637550968,-0.0371934927688583,0.992578473416794,-6.6,-13.35,12.75
0.74,-0.428738132283798,-0.161476263619628,0.30936294069701,-0.00237794461964832,-0.0372544657078236,0.992151662844037,-8.55,-13.2,13.2
